"sep=,"
Name,Classifier,Parameter,Precision,Recall,Fscore,Consusion Matrix
dt_Nonefeat,dt,None,0.927,0.931,0.929,[335  22]
,,,,,,[ 16 196]

dt_autofeat,dt,auto,0.903,0.901,0.902,[332  25]
,,,,,,[ 27 185]

dt_log2feat,dt,log2,0.938,0.938,0.938,[340  17]
,,,,,,[ 16 196]

dt_sqrtfeat,dt,sqrt,0.903,0.901,0.902,[332  25]
,,,,,,[ 27 185]

knn_10neighbors,knn,10,0.975,0.962,0.968,[355   2]
,,,,,,[ 15 197]

knn_15neighbors,knn,15,0.973,0.959,0.966,[355   2]
,,,,,,[ 16 196]

knn_1neighbors,knn,1,0.944,0.943,0.944,[343  14]
,,,,,,[ 16 196]

knn_20neighbors,knn,20,0.963,0.947,0.954,[353   4]
,,,,,,[ 20 192]

knn_5neighbors,knn,5,0.967,0.962,0.964,[350   7]
,,,,,,[ 12 200]

mlp_10layers,mlp,10,0.975,0.968,0.972,[353   4]
,,,,,,[ 11 201]

mlp_30layers,mlp,30,0.978,0.97,0.973,[354   3]
,,,,,,[ 11 201]

mlp_50layers,mlp,50,0.976,0.972,0.974,[352   5]
,,,,,,[  9 203]

mlp_5layers,mlp,5,0.961,0.952,0.956,[350   7]
,,,,,,[ 16 196]

svm_0.1Cval,svm,0.1,0.96,0.939,0.948,[354   3]
,,,,,,[ 24 188]

svm_10Cval,svm,10,0.98,0.975,0.977,[354   3]
,,,,,,[  9 203]

svm_1Cval,svm,1,0.974,0.963,0.968,[354   3]
,,,,,,[ 14 198]

svm_5Cval,svm,5,0.978,0.97,0.973,[354   3]
,,,,,,[ 11 201]

